  0.0000000E+00  1.904386797437858E+035
   22.50000      1.814702179481040E+035
   45.00000      1.804178494983272E+035
   67.50000      1.903155862630512E+035
   90.00000      2.050080087505458E+035
   112.5000      2.182158063742713E+035
   135.0000      2.215252503202781E+035
   157.5000      2.099204429274656E+035
   180.0000      1.982058786399939E+035
   202.5000      1.944910901873500E+035
   225.0000      1.940533419462425E+035
   247.5000      2.085657014090869E+035
   270.0000      2.226628103861868E+035
   292.5000      2.230040390313533E+035
   315.0000      2.147916218824995E+035
   337.5000      2.023596571567669E+035
   360.0000      1.904386797437858E+035
   360.0000      1.665484367194227E+035
   382.5000      1.590242412774819E+035
   405.0000      1.570232828023942E+035
   427.5000      1.642474624533990E+035
   450.0000      1.755005922155298E+035
   472.5000      1.853928181348483E+035
   495.0000      1.871596227278479E+035
   517.5000      1.768262461196215E+035
   540.0000      1.665044281543757E+035
   562.5000      1.629291760555152E+035
   585.0000      1.626493908659987E+035
   607.5000      1.733951165797286E+035
   630.0000      1.879315719714237E+035
   652.5000      1.930565567737165E+035
   675.0000      1.883874210629465E+035
   697.5000      1.770614168466899E+035
   720.0000      1.665484367194227E+035
   720.0000      1.464460647969179E+035
   742.5000      1.387038598966602E+035
   765.0000      1.353551220635917E+035
   787.5000      1.390557968981785E+035
   810.0000      1.464772617696817E+035
   832.5000      1.532823910360164E+035
   855.0000      1.545857241079754E+035
   877.5000      1.483763386904475E+035
   900.0000      1.407635868872940E+035
   922.5000      1.370735456513068E+035
   945.0000      1.360830010533227E+035
   967.5000      1.426294989250323E+035
   990.0000      1.543370107977543E+035
   1012.500      1.620198764856249E+035
   1035.000      1.620229362985900E+035
   1057.500      1.554605476281180E+035
   1080.000      1.464460647969179E+035
   1080.000      1.308961091259493E+035
   1102.500      1.248018495456408E+035
   1125.000      1.202969678404251E+035
   1147.500      1.203904624728617E+035
   1170.000      1.246187885134834E+035
   1192.500      1.295380381509234E+035
   1215.000      1.318864439750596E+035
   1237.500      1.287573897495749E+035
   1260.000      1.225715066489180E+035
   1282.500      1.181358096451601E+035
   1305.000      1.159578920326968E+035
   1327.500      1.186303903679890E+035
   1350.000      1.266877788602008E+035
   1372.500      1.349064648188031E+035
   1395.000      1.385577723723707E+035
   1417.500      1.365852607931943E+035
   1440.000      1.308961091259493E+035
   1440.000      1.158475082857676E+035
   1462.500      1.114481825088316E+035
   1485.000      1.075176629940967E+035
   1507.500      1.064566301454164E+035
   1530.000      1.090046514550820E+035
   1552.500      1.126672302224338E+035
   1575.000      1.148443473231888E+035
   1597.500      1.131233463428733E+035
   1620.000      1.080547506426920E+035
   1642.500      1.033464285075489E+035
   1665.000      1.006370170777331E+035
   1687.500      1.013771297498199E+035
   1710.000      1.067578970938961E+035
   1732.500      1.139775883058236E+035
   1755.000      1.187766109112325E+035
   1777.500      1.191873565292508E+035
   1800.000      1.158475082857676E+035
   1800.000      1.011215805697535E+035
   1822.500      9.752441287489583E+034
   1845.000      9.447458284143817E+034
   1867.500      9.386831880063953E+034
   1890.000      9.621665783316384E+034
   1912.500      9.927706717041838E+034
   1935.000      1.006897602294424E+035
   1957.500      9.879789476574157E+034
   1980.000      9.428550077200835E+034
   2002.500      9.011565037684609E+034
   2025.000      8.794349973918093E+034
   2047.500      8.879145097257822E+034
   2070.000      9.343217598912553E+034
   2092.500      9.959822112609625E+034
   2115.000      1.036536142669187E+035
   2137.500      1.039351069422052E+035
   2160.000      1.011215805697535E+035
   2160.000      8.747390213768311E+034
   2182.500      8.417190429045061E+034
   2205.000      8.187738541299212E+034
   2227.500      8.208559472162103E+034
   2250.000      8.471198415174066E+034
   2272.500      8.750658385775429E+034
   2295.000      8.812499870894116E+034
   2317.500      8.569338232664419E+034
   2340.000      8.160504839827945E+034
   2362.500      7.828487077148637E+034
   2385.000      7.701796121288223E+034
   2407.500      7.862335097673459E+034
   2430.000      8.329731160811562E+034
   2452.500      8.859215137853915E+034
   2475.000      9.132205172803170E+034
   2497.500      9.054532200321573E+034
   2520.000      8.747390213768311E+034
   2520.000      7.520769458460996E+034
   2542.500      7.216250962347429E+034
   2565.000      7.047607360691177E+034
   2587.500      7.128630478207078E+034
   2610.000      7.412533682228035E+034
   2632.500      7.671795835999251E+034
   2655.000      7.677417645713320E+034
   2677.500      7.410833184967632E+034
   2700.000      7.049952965694814E+034
   2722.500      6.789318090077339E+034
   2745.000      6.729701516170065E+034
   2767.500      6.940358218298762E+034
   2790.000      7.398405624890111E+034
   2812.500      7.846195665777423E+034
   2835.000      8.005660251843150E+034
   2857.500      7.845199506743574E+034
   2880.000      7.520769458460996E+034
   2880.000      6.426612798860584E+034
   2902.500      6.154702667534002E+034
   2925.000      6.031818988511624E+034
   2947.500      6.143008879034682E+034
   2970.000      6.426951769150696E+034
   2992.500      6.662711807299490E+034
   3015.000      6.638404663146410E+034
   3037.500      6.379440679289283E+034
   3060.000      6.066808598889500E+034
   3082.500      5.857763767374415E+034
   3105.000      5.835952284950218E+034
   3127.500      6.059428298445160E+034
   3150.000      6.482640856174653E+034
   3172.500      6.856122632887911E+034
   3195.000      6.940537015320157E+034
   3217.500      6.742553955287154E+034
   3240.000      6.426612798860584E+034
   3240.000      5.441774526390688E+034
   3262.500      5.206674977115059E+034
   3285.000      5.117059578157023E+034
   3307.500      5.236424334280377E+034
   3330.000      5.502695919361450E+034
   3352.500      5.711176448521814E+034
   3375.000      5.674760032015456E+034
   3397.500      5.440405120241634E+034
   3420.000      5.173848168024379E+034
   3442.500      5.003828832039212E+034
   3465.000      5.000997560314947E+034
