6.0	4.03435921805e+36
6.25	3.89736903477e+36
6.5	3.70043234989e+36
6.75	3.48225688201e+36
7.0	3.26210364398e+36
7.25	3.0493202884e+36
7.5	2.84801069219e+36
7.75	2.65964640453e+36
8.0	2.48433756852e+36
8.25	2.32154463532e+36
8.5	2.17043461496e+36
8.75	2.03007580642e+36
9.0	1.89953697276e+36
9.25	1.77793369769e+36
9.5	1.66445015297e+36
9.75	1.55834682216e+36
10.0	1.45894291078e+36
10.25	1.36555765111e+36
10.5	1.27766171216e+36
10.75	1.19479642322e+36
11.0	1.11655315086e+36
11.25	1.04256620877e+36
11.5	9.7250732978e+35
11.75	9.060809496e+35
12.0	8.43020264556e+35
12.25	7.83083811747e+35
12.5	7.26052546764e+35
12.75	6.71727246388e+35
13.0	6.19926331046e+35
13.25	5.70484009024e+35
13.5	5.23248542415e+35
13.75	4.78080785913e+35
14.0	4.3485295822e+35
14.25	3.93447463681e+35
14.5	3.53755900639e+35
14.75	3.15678179871e+35
