6.0	0.0
6.25	21.5951777343
6.5	33.7655874164
6.75	42.5726806676
7.0	49.5512639804
7.25	55.3317289431
7.5	60.239270081
7.75	64.4697151475
8.0	68.1529900802
8.25	71.3821181579
8.5	74.2272257133
8.75	76.7433312678
9.0	78.9748793157
9.25	80.9585242984
9.5	82.7249926111
9.75	84.3003721246
10.0	85.7067861217
10.25	86.9623710075
10.5	88.0839391735
10.75	89.0863259213
11.0	89.9825247342
11.25	90.783938536
11.5	91.5005979322
11.75	92.1413460661
12.0	92.7139966313
12.25	93.2254681844
12.5	93.6818991754
12.75	94.0887460113
13.0	94.4508679976
13.25	94.7726007771
13.5	95.0578190089
13.75	95.3099910852
14.0	95.5322269273
14.25	95.7273190419
14.5	95.8977786121
14.75	96.0458670218
