!!!! Amplitude, Center, Width, Frequency !!!!

!!! Constant Amplitude, then L-shell, then FWHM !!!
3.0, 7.2, 0.8, .310
3.0, 7.2, 0.9, .320
3.0, 7.5, 1.0, .310
3.0, 7.6, 0.7, .230
3.0, 7.6, 1.0, .290
3.0, 7.8, 0.8, .210
3.0, 8.0, 0.8, .185
3.0, 8.2, 0.9, .185
3.0, 8.2, 1.0, .200
3.0, 8.2, 1.2, .240
3.0, 9.0, 1.0, .168
3.0, 9.2, 1.0, .145
3.0, 9.2, 1.2, .166
3.0, 9.5, 1.2, .145
3.0, 9.8, 1.0, .145
3.0, 9.8, 1.2, .145
2.0, 7.6, 1.0, .245
2.5, 7.6, 0.7, .212
2.5, 7.6, 1.0, .270
2.5, 7.6, 1.2, .312
2.5, 7.6, 1.5, .370
3.0, 7.6, 0.7, .230
3.0, 7.6, 1.0, .290
3.5, 7.6, 1.0, .295
3.8, 7.6, 0.8, .270
3.8, 7.6, 0.9, .300
2.0, 7.2, 1.0, .312
2.0, 7.5, 1.0, .260
2.0, 7.6, 1.0, .245
2.0, 7.8, 1.0, .220 
2.0, 8.1, 1.0, .188
2.5, 7.6, 1.0, .270
2.5, 8.3, 1.0, .188
2.5, 8.6, 1.0, .165
2.5, 8.8, 1.0, .165
2.5, 9.0, 1.0, .155
3.0, 7.5, 1.0, .310
3.0, 7.6, 1.0, .290
3.0, 8.2, 1.0, .200
3.0, 9.0, 1.0, .168
3.0, 9.2, 1.0, .145
3.0, 9.8, 1.0, .145
3.5, 7.5, 1.0, .310
3.5, 7.6, 1.0, .295
3.5, 7.8, 1.0, .252
3.5, 8.0, 1.0, .230
3.5, 8.2, 1.0, .208
4.0, 8.5, 1.0, .190
4.0, 10.0, 1.0, .145
5.0, 10.0, 1.0, .145
9.0, 10.5, 1.0, .145 

