  0.0000000E+00   17526.2203046694        6.000000    
   15.00000       16965.7617535913        6.000000    
   30.00000       16606.8122699629        6.000000    
   45.00000       16500.0671188016        6.000000    
   60.00000       16627.3163415559        6.000000    
   75.00000       16934.0956266638        6.000000    
   90.00000       17333.6472630091        6.000000    
   105.0000       17713.9017746923        6.000000    
   120.0000       17964.5036028996        6.000000    
   135.0000       18044.9260035578        6.000000    
   150.0000       17949.6925033578        6.000000    
   165.0000       17736.0294809298        6.000000    
   180.0000       17484.0971871380        6.000000    
   195.0000       17272.5266549369        6.000000    
   210.0000       17169.0374846269        6.000000    
   225.0000       17241.4067699917        6.000000    
   240.0000       17506.1140747527        6.000000    
   255.0000       17939.4416687858        6.000000    
   270.0000       18464.9688796417        6.000000    
   285.0000       18920.4590005364        6.000000    
   300.0000       19190.9575330582        6.000000    
   315.0000       19146.0191249384        6.000000    
   330.0000       18771.8793030391        6.000000    
   345.0000       18179.4366774841        6.000000    
  0.0000000E+00   17526.2203046694        6.000000    
 
  0.0000000E+00   17931.7787178991        6.121428    
   15.00000       17355.0590940640        6.121428    
   30.00000       16965.1917825329        6.121428    
   45.00000       16819.8847090175        6.121428    
   60.00000       16910.3548115569        6.121428    
   75.00000       17184.4817965655        6.121428    
   90.00000       17561.8700423282        6.121428    
   105.0000       17926.1312518332        6.121428    
   120.0000       18170.7142670583        6.121428    
   135.0000       18247.0239348045        6.121428    
   150.0000       18145.0504509625        6.121428    
   165.0000       17918.6543735381        6.121428    
   180.0000       17651.8599369255        6.121428    
   195.0000       17426.3297321385        6.121428    
   210.0000       17315.6683435675        6.121428    
   225.0000       17389.3296871040        6.121428    
   240.0000       17671.0634908975        6.121428    
   255.0000       18132.4209910627        6.121428    
   270.0000       18698.8306573155        6.121428    
   285.0000       19198.1856063733        6.121428    
   300.0000       19505.7281307700        6.121428    
   315.0000       19497.1422975908        6.121428    
   330.0000       19156.2836333444        6.121428    
   345.0000       18583.9602429720        6.121428    
  0.0000000E+00   17931.7787178991        6.121428    
 
  0.0000000E+00   17138.2363783387        6.242857    
   15.00000       16608.4958947088        6.242857    
   30.00000       16237.5928411893        6.242857    
   45.00000       16084.2192484229        6.242857    
   60.00000       16147.0220032000        6.242857    
   75.00000       16383.7243613590        6.242857    
   90.00000       16724.7120891336        6.242857    
   105.0000       17062.3123179584        6.242857    
   120.0000       17299.8585600201        6.242857    
   135.0000       17385.3380104124        6.242857    
   150.0000       17303.9772694312        6.242857    
   165.0000       17099.1982813565        6.242857    
   180.0000       16848.0434352642        6.242857    
   195.0000       16625.5830887088        6.242857    
   210.0000       16504.8654842784        6.242857    
   225.0000       16551.6618574050        6.242857    
   240.0000       16794.2800573452        6.242857    
   255.0000       17209.6122412911        6.242857    
   270.0000       17726.8367078427        6.242857    
   285.0000       18192.2650970624        6.242857    
   300.0000       18485.8138103178        6.242857    
   315.0000       18500.1699643315        6.242857    
   330.0000       18219.2968359842        6.242857    
   345.0000       17722.3426036591        6.242857    
  0.0000000E+00   17138.2363783387        6.242857    
 
  0.0000000E+00   15879.7638226026        6.364286    
   15.00000       15416.0718940899        6.364286    
   30.00000       15080.4256661347        6.364286    
   45.00000       14928.0137308636        6.364286    
   60.00000       14964.7143137241        6.364286    
   75.00000       15159.0262503037        6.364286    
   90.00000       15454.3207762338        6.364286    
   105.0000       15757.8199968935        6.364286    
   120.0000       15983.2720558478        6.364286    
   135.0000       16078.4461179748        6.364286    
   150.0000       16024.6292745941        6.364286    
   165.0000       15852.9730957817        6.364286    
   180.0000       15629.2792358195        6.364286    
   195.0000       15418.6015857085        6.364286    
   210.0000       15290.0798063713        6.364286    
   225.0000       15303.0532199425        6.364286    
   240.0000       15488.6490355857        6.364286    
   255.0000       15831.8008763050        6.364286    
   270.0000       16271.1944302131        6.364286    
   285.0000       16678.8592404613        6.364286    
   300.0000       16947.4555312980        6.364286    
   315.0000       16989.6649366436        6.364286    
   330.0000       16780.5701862846        6.364286    
   345.0000       16374.9831026723        6.364286    
  0.0000000E+00   15879.7638226026        6.364286    
 
  0.0000000E+00   14491.3340221169        6.485714    
   15.00000       14093.3780995453        6.485714    
   30.00000       13792.5057693101        6.485714    
   45.00000       13640.5643565655        6.485714    
   60.00000       13649.5548091740        6.485714    
   75.00000       13798.2021882842        6.485714    
   90.00000       14042.9182813653        6.485714    
   105.0000       14307.6889713473        6.485714    
   120.0000       14516.9377586434        6.485714    
   135.0000       14619.3227499041        6.485714    
   150.0000       14592.8138359231        6.485714    
   165.0000       14456.6255000886        6.485714    
   180.0000       14263.9562817102        6.485714    
   195.0000       14070.1581957871        6.485714    
   210.0000       13936.2503576774        6.485714    
   225.0000       13916.9420080680        6.485714    
   240.0000       14044.1049694036        6.485714    
   255.0000       14311.1839744287        6.485714    
   270.0000       14670.1956611422        6.485714    
   285.0000       15024.1950744860        6.485714    
   300.0000       15277.9714208666        6.485714    
   315.0000       15351.3024669499        6.485714    
   330.0000       15214.7268707221        6.485714    
   345.0000       14903.0321077470        6.485714    
  0.0000000E+00   14491.3340221169        6.485714    
 
  0.0000000E+00   13122.4516441977        6.607143    
   15.00000       12779.2990246987        6.607143    
   30.00000       12508.3007634354        6.607143    
   45.00000       12354.4738254627        6.607143    
   60.00000       12334.1295287702        6.607143    
   75.00000       12436.8710378071        6.607143    
   90.00000       12630.5230560799        6.607143    
   105.0000       12855.2107780958        6.607143    
   120.0000       13045.3225515865        6.607143    
   135.0000       13151.7520592964        6.607143    
   150.0000       13149.2888459434        6.607143    
   165.0000       13046.9989239636        6.607143    
