0.5e-7 0.1e28 34.2608443665
0.5e-7 0.25e28 26.2480213841
0.5e-7 0.5e28 33.4646801639
0.5e-7 0.75e28 43.2051681521
0.5e-7 1.0e28 54.0105055674

1.0e-7 0.1e28 48.547608325
1.0e-7 0.25e28 35.1265182772
1.0e-7 0.5e28 40.3447456498
1.0e-7 0.75e28 47.2838500271
1.0e-7 1.0e28 53.9071925594
1.0e-7 2.0e28 88.5876407549

2.0e-7 0.1e28 111.86265184
2.0e-7 0.25e28 76.5999168452
2.0e-7 0.5e28 74.7173563857
2.0e-7 0.75e28 78.4413177621
2.0e-7 1.0e28 80.9028865444
2.0e-7 2.0e28 87.4489631291
2.0e-7 3.0e28 106.298755504

3.0e-7 0.1e28 226.244179102
3.0e-7 0.25e28 145.534730408
3.0e-7 0.5e28 125.72898019
3.0e-7 0.75e28 125.287491497
3.0e-7 1.0e28 125.34285666
3.0e-7 2.0e28 117.381968898
3.0e-7 3.0e28 113.024259164
3.0e-7 4.0e28 121.920470015

4.5e-7 0.1e28 509.183089106
4.5e-7 0.25e28 308.834508065
4.5e-7 0.5e28 228.978545442
4.5e-7 0.75e28 212.836129323
4.5e-7 1.0e28 207.806229342
4.5e-7 2.0e28 189.480299837
4.5e-7 3.0e28 166.999292646
4.5e-7 4.0e28 150.525166395
4.5e-7 4.5e28 145.847614759
4.5e-7 5.0e28 143.813231621
4.5e-7 5.5e28 144.535543273
4.5e-7 6.0e28 148.106442189

6.0e-7 0.1e28 885.856237849
6.0e-7 0.25e28 532.073256022
6.0e-7 0.5e28 357.710899047
6.0e-7 0.75e28 310.752441648
6.0e-7 1.0e28 294.770383079
6.0e-7 2.0e28 271.665892264
6.0e-7 3.0e28 245.070606989
6.0e-7 4.0e28 217.46097907
6.0e-7 4.5e28 205.195579097
6.0e-7 5.0e28 194.486192625
6.0e-7 5.5e28 185.532522249
6.0e-7 6.0e28 178.455020006

7.5e-7 0.1e28 1265.29695402
7.5e-7 0.25e28 773.953657789
7.5e-7 0.5e28 497.1389904
7.5e-7 0.75e28 409.654626081
7.5e-7 1.0e28 376.285520746
7.5e-7 2.0e28 344.411027245
7.5e-7 3.0e28 323.722064282
7.5e-7 4.0e28 297.093778519
7.5e-7 4.5e28 282.993178752
7.5e-7 5.0e28 269.109295162
7.5e-7 5.5e28 255.839868027
7.5e-7 6.0e28 243.481165463

9.0e-7 0.1e28 1581.35653534
9.0e-7 0.25e28 996.715434579
9.0e-7 0.5e28 632.456841405
9.0e-7 0.75e28 503.586473981
9.0e-7 1.0e28 449.543748399
9.0e-7 2.0e28 400.048909889
9.0e-7 3.0e28 386.681149709
9.0e-7 4.0e28 368.639961017
9.0e-7 4.5e28 357.521348143
9.0e-7 5.0e28 345.447772638
9.0e-7 5.5e28 332.809927122
9.0e-7 6.0e28 319.955133047

10.5e-7 0.1e28 1817.90706887
10.5e-7 0.25e28 1184.3493492
10.5e-7 0.5e28 755.501212528
10.5e-7 0.75e28 589.929827684
10.5e-7 1.0e28 515.143603838
10.5e-7 2.0e28 441.205563283
10.5e-7 3.0e28 430.669237664
10.5e-7 4.0e28 421.328200584
10.5e-7 4.5e28 414.855741754
10.5e-7 5.0e28 407.12699525
10.5e-7 5.5e28 398.286868996
10.5e-7 6.0e28 388.537964395

12.0e-7 0.1e28 1987.57657788
12.0e-7 0.25e28 1337.15361171
12.0e-7 0.5e28 864.549636872
12.0e-7 0.75e28 668.517113973
12.0e-7 1.0e28 574.600650986
12.0e-7 2.0e28 473.105575873
12.0e-7 3.0e28 460.530618877
12.0e-7 4.0e28 456.269674334
12.0e-7 4.5e28 453.455497841
12.0e-7 5.0e28 449.714170893
12.0e-7 5.5e28 444.981240716
12.0e-7 6.0e28 439.284668924

15.0e-7 0.1e28 2199.32612989
15.0e-7 0.25e28 1565.00906052
15.0e-7 0.5e28 1047.57810931
15.0e-7 0.75e28 807.001385222
15.0e-7 1.0e28 680.88719434
15.0e-7 2.0e28 523.283802147
15.0e-7 3.0e28 498.205453147
15.0e-7 4.0e28 494.776706287
15.0e-7 4.5e28 494.743771714
15.0e-7 5.0e28 494.79629477
15.0e-7 5.5e28 494.611438349
15.0e-7 6.0e28 494.02396653

18.0e-7 0.1e28 2323.17754754
18.0e-7 0.25e28 1728.40516859
18.0e-7 0.5e28 1197.64675875
18.0e-7 0.75e28 928.173400251
18.0e-7 1.0e28 777.005342292
18.0e-7 2.0e28 566.579528062
18.0e-7 3.0e28 524.184882281
18.0e-7 4.0e28 515.359831155
18.0e-7 4.5e28 514.74527125
18.0e-7 5.0e28 515.083755064
18.0e-7 5.5e28 515.842870514
18.0e-7 6.0e28 516.718548701

