201.222	0.0945852	0.106601	0.0101149	0.044467	0.0174889	2.4186E+035	3.12
211.449	0.0592702	0.0627493	0.00615494	0.0280872	0.0109545	1.9833E+035	3.00
280.756	0.0420667	0.0434006	0.00453323	0.0206591	0.00614847	1.7647E+035	1.87
344.483	0.0717265	0.0690435	0.00791823	0.036088	0.00962847	2.9671E+035	1.34
401.595	0.0438682	0.0420632	0.00472044	0.0233916	0.00608466	2.4476E+035	1.47
419.421	0.0410069	0.0350739	0.00459186	0.023676	0.00623478	2.1045E+035	1.46
482.523	0.0346413	0.028653	0.00416212	0.0202845	0.00469968	1.9782E+035	1.36
576.969	0.0305577	0.021355	0.00378476	0.0164741	0.00359629	1.9648E+035	1.19
679.614	0.0309223	0.0172471	0.00422264	0.0179224	0.00353615	1.9893E+035	1.00
878.216	0.0291227	0.0114173	0.00394793	0.0151097	0.00276416	2.0029E+035	1.01
917.06	0.0235553	0.00983548	0.00367055	0.0127253	0.00219707	2.1010E+035	1.05
915.424	0.0184174	0.00872783	0.00320105	0.0106404	0.00171739	2.2152E+035	0.889
1068.72	0.0179926	0.00689704	0.00311722	0.00988091	0.00157381	2.3765E+035	
