201.222	0.200845	0.0902995	0.0213447	0.146455	0.0607576	6.9817E+035	15.6
211.449	0.216879	0.0607251	0.0223289	0.156036	0.0627799	8.8446E+035	15
280.756	0.166432	0.115018	0.0271246	0.155725	0.0445612	1.1081E+036	9.35
344.483	0.138449	0.137228	0.0309433	0.161884	0.0412294	1.3719E+036	6.69
401.595	0.133507	0.126763	0.029333	0.169411	0.0419393	1.4007E+036	7.37
419.421	0.17063	0.0673422	0.0332775	0.19784	0.0492826	1.3000E+036	7.32
482.523	0.162613	0.0772388	0.0368503	0.200824	0.0441343	1.3353E+036	6.8
576.969	0.172647	0.0844016	0.0414772	0.190781	0.038983	1.4305E+036	5.94
679.614	0.204398	0.0516905	0.0474567	0.207031	0.039426	1.5082E+036	4.89
878.216	0.263042	0.0245614	0.0541473	0.208537	0.0366013	1.6282E+036	4.46
917.06	0.238822	0.0324301	0.0599202	0.207266	0.0340084	1.7585E+036	4.69
915.424	0.223875	0.0321296	0.0659499	0.219024	0.0318013	1.9090E+036	5.16
1068.72	0.248611	0.0250213	0.0678053	0.213985	0.031407	2.0853E+036
