5.0e28 , -12.0 , 6.5e-7 , 3.5 , 0.002 , 3.5 , 3.870283 , 57.2756711732
5.0e28 , -12.0 , 6.5e-7 , 3.5 , 0.002 , 5.0 , 4.773761 , 72.772220294
5.0e28 , -12.0 , 6.5e-7 , 3.5 , 0.002 , 7.0 , 6.178061 , 82.2155124685
5.0e28 , -12.0 , 6.5e-7 , 3.5 , 0.003 , 3.5 , nan , nan
5.0e28 , -12.0 , 6.5e-7 , 3.5 , 0.003 , 5.0 , nan , nan
5.0e28 , -12.0 , 6.5e-7 , 3.5 , 0.003 , 7.0 , nan , nan
5.0e28 , -12.0 , 6.5e-7 , 4.5 , 0.002 , 3.5 , 3.048036 , 18.3514652568
5.0e28 , -12.0 , 6.5e-7 , 4.5 , 0.002 , 5.0 , 3.537883 , 25.5435294886
5.0e28 , -12.0 , 6.5e-7 , 4.5 , 0.002 , 7.0 , 4.531796 , 35.9436478564
5.0e28 , -12.0 , 6.5e-7 , 4.5 , 0.003 , 3.5 , 5.034863 , 45.9433231431
5.0e28 , -12.0 , 6.5e-7 , 4.5 , 0.003 , 5.0 , 5.945313 , 52.1236418754
5.0e28 , -12.0 , 6.5e-7 , 4.5 , 0.003 , 7.0 , 6.493743 , 42.7084338544
5.0e28 , -12.0 , 6.5e-7 , 5.5 , 0.002 , 3.5 , 2.573469 , 3.33622598257
5.0e28 , -12.0 , 6.5e-7 , 5.5 , 0.002 , 5.0 , 2.815151 , 5.18637666519
5.0e28 , -12.0 , 6.5e-7 , 5.5 , 0.002 , 7.0 , 3.371572 , 9.37814623705
5.0e28 , -12.0 , 6.5e-7 , 5.5 , 0.003 , 3.5 , 3.615957 , 12.6501115174
5.0e28 , -12.0 , 6.5e-7 , 5.5 , 0.003 , 5.0 , 4.169295 , 16.5543916706
5.0e28 , -12.0 , 6.5e-7 , 5.5 , 0.003 , 7.0 , 4.933268 , 18.8164236284
5.0e28 , -12.0 , 8.0e-7 , 3.5 , 0.002 , 3.5 , 3.338294 , 29.959152743
5.0e28 , -12.0 , 8.0e-7 , 3.5 , 0.002 , 5.0 , 3.99885 , 41.1978678176
5.0e28 , -12.0 , 8.0e-7 , 3.5 , 0.002 , 7.0 , 5.210751 , 52.9898124299
5.0e28 , -12.0 , 8.0e-7 , 3.5 , 0.003 , 3.5 , 5.776356 , 67.9907470502
5.0e28 , -12.0 , 8.0e-7 , 3.5 , 0.003 , 5.0 , 6.826955 , 73.0057125053
5.0e28 , -12.0 , 8.0e-7 , 3.5 , 0.003 , 7.0 , 7.012571 , 50.665677128
5.0e28 , -12.0 , 8.0e-7 , 4.5 , 0.002 , 3.5 , 2.740734 , 6.1311701173
5.0e28 , -12.0 , 8.0e-7 , 4.5 , 0.002 , 5.0 , 3.068094 , 9.74493995828
5.0e28 , -12.0 , 8.0e-7 , 4.5 , 0.002 , 7.0 , 3.810597 , 16.8215225366
5.0e28 , -12.0 , 8.0e-7 , 4.5 , 0.003 , 3.5 , 4.046186 , 21.1573908501
5.0e28 , -12.0 , 8.0e-7 , 4.5 , 0.003 , 5.0 , 4.756927 , 26.729108607
5.0e28 , -12.0 , 8.0e-7 , 4.5 , 0.003 , 7.0 , 5.477207 , 25.6656465496
5.0e28 , -12.0 , 8.0e-7 , 5.5 , 0.002 , 3.5 , 2.378924 , 0.913958103786
5.0e28 , -12.0 , 8.0e-7 , 5.5 , 0.002 , 5.0 , 2.544796 , 1.17444244289
5.0e28 , -12.0 , 8.0e-7 , 5.5 , 0.002 , 7.0 , 2.935339 , 2.47348000474
5.0e28 , -12.0 , 8.0e-7 , 5.5 , 0.003 , 3.5 , 3.050953 , 3.55591989876
5.0e28 , -12.0 , 8.0e-7 , 5.5 , 0.003 , 5.0 , 3.43053 , 5.38167721493
5.0e28 , -12.0 , 8.0e-7 , 5.5 , 0.003 , 7.0 , 4.100873 , 7.94052281163
5.0e28 , -12.0 , 9.5e-7 , 3.5 , 0.002 , 3.5 , 3.023565 , 14.6483983939
5.0e28 , -12.0 , 9.5e-7 , 3.5 , 0.002 , 5.0 , 3.51143 , 22.1254188641
5.0e28 , -12.0 , 9.5e-7 , 3.5 , 0.002 , 7.0 , 4.527413 , 33.0489996942
5.0e28 , -12.0 , 9.5e-7 , 3.5 , 0.003 , 3.5 , 4.818254 , 40.8452335988
5.0e28 , -12.0 , 9.5e-7 , 3.5 , 0.003 , 5.0 , 5.741464 , 47.647652888
5.0e28 , -12.0 , 9.5e-7 , 3.5 , 0.003 , 7.0 , 6.207531 , 36.474332687
5.0e28 , -12.0 , 9.5e-7 , 4.5 , 0.002 , 3.5 , 2.554275 , 1.6479250209
5.0e28 , -12.0 , 9.5e-7 , 4.5 , 0.002 , 5.0 , 2.790914 , 3.12197821356
5.0e28 , -12.0 , 9.5e-7 , 4.5 , 0.002 , 7.0 , 3.353742 , 7.03955195234
5.0e28 , -12.0 , 9.5e-7 , 4.5 , 0.003 , 3.5 , 3.463462 , 8.88289975562
5.0e28 , -12.0 , 9.5e-7 , 4.5 , 0.003 , 5.0 , 4.006278 , 12.7045472899
5.0e28 , -12.0 , 9.5e-7 , 4.5 , 0.003 , 7.0 , 4.755182 , 14.8594279907
5.0e28 , -12.0 , 9.5e-7 , 5.5 , 0.002 , 3.5 , 2.251869 , 1.39713145439
5.0e28 , -12.0 , 9.5e-7 , 5.5 , 0.002 , 5.0 , 2.374667 , 1.02208690114
5.0e28 , -12.0 , 9.5e-7 , 5.5 , 0.002 , 7.0 , 2.669634 , 0.84250545847
